paper_name,system_name,source_title,source_url,year,task_type,dataset_scope,metric_name_normalized,metric_name_as_reported,value,unit,direction,attempts,sample_count,status,quote_or_source_note,comparability_to_our_100_prompt_run,reason
Chemeleon,Chemeleon,Exploration of crystal chemical space using text-guided generative artificial intelligence,https://www.nature.com/articles/s41467-025-59636-y,2025,property_conditioned_generation,paper_reported,predicted_ehull_threshold,Metastable threshold,0.15,eV/atom,threshold,,,ok,Metastable structures are defined as less than 0.15 eV/atom above hull.,contextual_only,Threshold can be reused, but our stability and hull evaluation are pending.
Chemeleon,Chemeleon,Exploration of crystal chemical space using text-guided generative artificial intelligence,https://www.nature.com/articles/s41467-025-59636-y,2025,property_conditioned_generation,TiO2,metastable_count,Unique metastable structures,122,count,higher_is_better,,549,ok,Final DFT calculations identified 122 unique metastable TiO2 structures.,not_comparable,Discovery count in one chemical system, not an intent benchmark rate.
Chemeleon,Chemeleon,Exploration of crystal chemical space using text-guided generative artificial intelligence,https://www.nature.com/articles/s41467-025-59636-y,2025,property_conditioned_generation,Ti-Zn-O,stable_count,Stable structures,1,count,higher_is_better,,,ok,Workflow predicted one stable generated structure in Ti-Zn-O.,not_comparable,Chemical-space discovery count; requires phase diagram and DFT workflow.
Chemeleon,Chemeleon,Exploration of crystal chemical space using text-guided generative artificial intelligence,https://www.nature.com/articles/s41467-025-59636-y,2025,property_conditioned_generation,Ti-Zn-O,metastable_count,Metastable structures,58,count,higher_is_better,,,ok,Workflow predicted 58 metastable generated structures in Ti-Zn-O.,not_comparable,Chemical-space discovery count; requires phase diagram and DFT workflow.
Chemeleon,Chemeleon,Exploration of crystal chemical space using text-guided generative artificial intelligence,https://www.nature.com/articles/s41467-025-59636-y,2025,property_conditioned_generation,Li-P-S-Cl,stable_count,New stable structures,17,count,higher_is_better,,,ok,Article reports 17 new stable Li-P-S-Cl structures below the convex hull.,not_comparable,Chemical-space discovery count; requires phase diagram and DFT workflow.
Chemeleon,Chemeleon,Exploration of crystal chemical space using text-guided generative artificial intelligence,https://www.nature.com/articles/s41467-025-59636-y,2025,property_conditioned_generation,Li-P-S-Cl,metastable_count,Metastable structures,435,count,higher_is_better,,,ok,Article reports 435 metastable Li-P-S-Cl generated structures.,not_comparable,Chemical-space discovery count; requires phase diagram and DFT workflow.
CDVAE,CDVAE,Crystal Diffusion Variational Autoencoder for Periodic Material Generation,https://arxiv.org/pdf/2110.06197,2022,unconditional_generation,Perov-5,pre_dft_validity_rate,Structural validity,1.00,,higher_is_better,,10000,ok,Table 2 reports CDVAE Perov-5 structural validity 100.0%.,contextual_only,Same broad validity idea but generated unconditionally from latent samples.
CDVAE,CDVAE,Crystal Diffusion Variational Autoencoder for Periodic Material Generation,https://arxiv.org/pdf/2110.06197,2022,unconditional_generation,Perov-5,composition_validity_rate,Compositional validity,0.9859,,higher_is_better,,10000,ok,Table 2 reports CDVAE Perov-5 compositional validity 98.59%.,contextual_only,Composition validity is chemical plausibility, not prompt formula satisfaction.
CDVAE,CDVAE,Crystal Diffusion Variational Autoencoder for Periodic Material Generation,https://arxiv.org/pdf/2110.06197,2022,unconditional_generation,Perov-5,coverage_recall,COV-R,0.9945,,higher_is_better,,10000,ok,Table 2 reports CDVAE Perov-5 coverage recall 99.45%.,not_comparable,Coverage metric compares generated distribution to dataset distribution.
CDVAE,CDVAE,Crystal Diffusion Variational Autoencoder for Periodic Material Generation,https://arxiv.org/pdf/2110.06197,2022,unconditional_generation,Perov-5,coverage_precision,COV-P,0.9846,,higher_is_better,,10000,ok,Table 2 reports CDVAE Perov-5 coverage precision 98.46%.,not_comparable,Coverage metric compares generated distribution to dataset distribution.
CDVAE,CDVAE,Crystal Diffusion Variational Autoencoder for Periodic Material Generation,https://arxiv.org/pdf/2110.06197,2022,unconditional_generation,Carbon-24,pre_dft_validity_rate,Structural validity,1.00,,higher_is_better,,10000,ok,Table 2 reports CDVAE Carbon-24 structural validity 100.0%.,contextual_only,Same broad validity idea but generated unconditionally from latent samples.
CDVAE,CDVAE,Crystal Diffusion Variational Autoencoder for Periodic Material Generation,https://arxiv.org/pdf/2110.06197,2022,unconditional_generation,Carbon-24,coverage_recall,COV-R,0.9980,,higher_is_better,,10000,ok,Table 2 reports CDVAE Carbon-24 coverage recall 99.80%.,not_comparable,Coverage metric compares generated distribution to dataset distribution.
CDVAE,CDVAE,Crystal Diffusion Variational Autoencoder for Periodic Material Generation,https://arxiv.org/pdf/2110.06197,2022,unconditional_generation,Carbon-24,coverage_precision,COV-P,0.8308,,higher_is_better,,10000,ok,Table 2 reports CDVAE Carbon-24 coverage precision 83.08%.,not_comparable,Coverage metric compares generated distribution to dataset distribution.
CDVAE,CDVAE,Crystal Diffusion Variational Autoencoder for Periodic Material Generation,https://arxiv.org/pdf/2110.06197,2022,unconditional_generation,MP-20,pre_dft_validity_rate,Structural validity,1.00,,higher_is_better,,10000,ok,Table 2 reports CDVAE MP-20 structural validity 100.0%.,contextual_only,Same broad validity idea but generated unconditionally from latent samples.
CDVAE,CDVAE,Crystal Diffusion Variational Autoencoder for Periodic Material Generation,https://arxiv.org/pdf/2110.06197,2022,unconditional_generation,MP-20,composition_validity_rate,Compositional validity,0.8670,,higher_is_better,,10000,ok,Table 2 reports CDVAE MP-20 compositional validity 86.70%.,contextual_only,Composition validity is chemical plausibility, not prompt formula satisfaction.
CDVAE,CDVAE,Crystal Diffusion Variational Autoencoder for Periodic Material Generation,https://arxiv.org/pdf/2110.06197,2022,unconditional_generation,MP-20,coverage_recall,COV-R,0.9915,,higher_is_better,,10000,ok,Table 2 reports CDVAE MP-20 coverage recall 99.15%.,not_comparable,Coverage metric compares generated distribution to dataset distribution.
CDVAE,CDVAE,Crystal Diffusion Variational Autoencoder for Periodic Material Generation,https://arxiv.org/pdf/2110.06197,2022,unconditional_generation,MP-20,coverage_precision,COV-P,0.9949,,higher_is_better,,10000,ok,Table 2 reports CDVAE MP-20 coverage precision 99.49%.,not_comparable,Coverage metric compares generated distribution to dataset distribution.
MGB,Material Generation Benchmark,The Material Generation Benchmark - MGB,https://openreview.net/pdf?id=K15Dqxm0ge,2026,CSP_from_formula,"Perov-5, Carbon-24, MP-20, MPTS-52",benchmark_protocol,Protocol: N=1 and N=20 samples,,,threshold,1;20,,needs_manual_check,Search-accessible text indicates MGB evaluates CSP on these datasets with one or twenty samples per composition.,not_comparable,Useful protocol reference only until exact benchmark rows are extracted.
AtomGPT,AtomGPT,AtomGPT: Atomistic Generative Pre-trained Transformer for Forward and Inverse Materials Design,https://arxiv.org/html/2405.03680v2,2024,stability_prediction,JARVIS-Leaderboard formation-energy split,formation_energy_mae,Formation energy MAE,0.072,eV/atom,lower_is_better,,,ok,Article reports AtomGPT formation-energy MAE 0.072 eV/atom.,not_comparable,Forward property prediction metric; our generated structures do not yet have formation-energy labels.
